smiles,query,answer
CC[NH+](C)CCNC(=O)NCc1ccc(N2CC[NH+](CC)CC2)nc1,What is the SMILES of this molecule?,CC[NH+](C)CCNC(=O)NCc1ccc(N2CC[NH+](CC)CC2)nc1
C[C@H]1CCCC[C@H]1[NH2+]CC(=O)NC(c1ccccc1)c1ccccc1,What is the SMILES string of this molecule?,C[C@H]1CCCC[C@H]1[NH2+]CC(=O)NC(c1ccccc1)c1ccccc1
CCC[C@H](C(=O)NC1CCC(Oc2ccc(C#N)cn2)CC1)[NH+](C)C,What is the SMILES of this molecule?,CCC[C@H](C(=O)NC1CCC(Oc2ccc(C#N)cn2)CC1)[NH+](C)C
Cc1nn(C)c2c1[nH+]c(N)n2C[C@@H]1Cc2ccccc21,What is the SMILES string of this molecule?,Cc1nn(C)c2c1[nH+]c(N)n2C[C@@H]1Cc2ccccc21
CCO[C@@H](CCNC(=O)N[C@@H](C)c1ccc(OC)c(OC)c1)C1CCCC1,What is the SMILES of this compound?,CCO[C@@H](CCNC(=O)N[C@@H](C)c1ccc(OC)c(OC)c1)C1CCCC1
CCN(CC)C(=O)CCCN[C@@H](c1ccccn1)C1CCCC1,Give me the SMILES of this molecule.,CCN(CC)C(=O)CCCN[C@@H](c1ccccn1)C1CCCC1
CCN(Cc1ccc(OCc2ccccc2)cc1)C(=O)CSc1nncc2ccccc12,What is the SMILES string of this compound?,CCN(Cc1ccc(OCc2ccccc2)cc1)C(=O)CSc1nncc2ccccc12
C=CCn1c(CN(C)Cc2cc3c(cc2Cl)OCO3)nnc1SCc1cccc(F)c1,Give me the SMILES of this molecule.,C=CCn1c(CN(C)Cc2cc3c(cc2Cl)OCO3)nnc1SCc1cccc(F)c1
COc1ccc2nc(N(C)CCN3CCOC3=O)c(C)cc2c1,What is the SMILES of this compound?,COc1ccc2nc(N(C)CCN3CCOC3=O)c(C)cc2c1
Cc1csc(CNc2ccc(C(=O)N3CCC[C@H](C)C3)cc2C)n1,Give me the SMILES of this molecule.,Cc1csc(CNc2ccc(C(=O)N3CCC[C@H](C)C3)cc2C)n1
COc1ccc(C(=O)NCC(=O)NCCCOCC(F)(F)F)cc1,Give me the SMILES string of this molecule.,COc1ccc(C(=O)NCC(=O)NCCCOCC(F)(F)F)cc1
